id,x,y,risk,value,service_time,payload,segment,case,kind,risk_value
24,-1.734882,7.792929,0.7831,125.0565,6.6324,0.8681,1.0,Bay Area,tower,0.03173227879934667
25,-1.485406,-2.789773,0.6979,115.2585,6.2916,1.1242,1.0,Bay Area,tower,0.02330946008054932
26,-1.211974,-1.783413,0.7328,119.272,6.4312,0.7605,1.0,Bay Area,tower,0.026611285437866773
27,-0.899127,-0.59049,0.7373,119.7895,6.4492,0.577,1.0,Bay Area,tower,0.027052007071591094
28,-0.601765,0.554118,0.6909,114.4535,6.2636,0.8469,1.0,Bay Area,tower,0.02267199164146024
29,-0.349065,1.523284,0.7386,119.939,6.4544,0.9306,1.0,Bay Area,tower,0.027179963911813643
30,0.045413,10.605998,0.5522,98.503,5.7088,1.2131,1.0,Bay Area,tower,0.011748976486933179
31,0.76734,10.784199,0.8309,130.5535,6.8236,1.2687,1.0,Bay Area,tower,0.036995064411353314
32,1.226054,10.952315,0.6116,105.334,5.9464,0.9941,1.0,Bay Area,tower,0.01602878365388921
33,1.84129,10.624879,0.7006,115.569,6.3024,0.7063,1.0,Bay Area,tower,0.023557554260838606
34,2.272771,1.848841,0.7577,122.1355,6.5308,1.0385,1.0,Bay Area,tower,0.029092876330178288
35,2.600388,1.254959,0.5911,102.9765,5.8644,1.0006,1.0,Bay Area,tower,0.014484347854550706
36,2.757456,1.010474,0.4879,91.1085,5.4516,0.9168,1.0,Bay Area,tower,0.0077883607753952725
37,2.875172,0.103111,0.7403,120.1345,6.4612,0.6292,1.0,Bay Area,tower,0.02734772312349033
38,3.073342,9.8875,0.6991,115.3965,6.2964,1.2439,1.0,Bay Area,tower,0.023419572030324586
39,3.298429,9.799233,0.4933,91.7295,5.4732,0.6941,1.0,Bay Area,tower,0.008094097146667168
40,3.559529,9.36922,0.7313,119.0995,6.4252,1.078,2.0,Bay Area,tower,0.02646513887839187
41,3.693419,-1.753357,0.6713,112.1995,6.1852,1.2589,2.0,Bay Area,tower,0.020931143723677936
42,3.797698,-1.839489,0.6509,109.8535,6.1036,0.6551,2.0,Bay Area,tower,0.01918820654900973
43,3.982451,4.180346,0.541,97.215,5.664,0.7613,2.0,Bay Area,tower,0.011008838652893359
44,4.172769,4.331615,0.7287,118.8005,6.4148,1.3866,2.0,Bay Area,tower,0.026212719125061082
45,4.321507,5.742703,0.5724,100.826,5.7896,1.111,2.0,Bay Area,tower,0.013137475293443468
46,4.336904,4.474223,0.5007,92.5805,5.5028,0.9943,2.0,Bay Area,tower,0.008521074648261262
47,4.403871,-2.595482,0.7409,120.2035,6.4636,1.1232,2.0,Bay Area,tower,0.02740704889029415
48,5.300277,8.502743,0.5237,95.2255,5.5948,1.0369,2.0,Bay Area,tower,0.00990726107351959
49,5.475038,10.017654,0.6221,106.5415,5.9884,0.9556,2.0,Bay Area,tower,0.01684734637536714
50,5.6623,1.068418,0.4714,89.211,5.3856,1.2556,2.0,Bay Area,tower,0.006884706476046677
51,5.923303,0.168972,0.6249,106.8635,5.9996,1.0873,2.0,Bay Area,tower,0.01706877717573748
52,6.285221,-0.578214,0.6799,113.1885,6.2196,1.1047,2.0,Bay Area,tower,0.021686989861755598
53,6.531154,-1.492294,0.5732,100.918,5.7928,0.6917,2.0,Bay Area,tower,0.013193885228484
54,6.901993,6.363639,0.629,107.335,6.016,0.6001,2.0,Bay Area,tower,0.01739540611547544
55,7.219275,5.785847,0.4909,91.4535,5.4636,0.8223,2.0,Bay Area,tower,0.007957605793577537
56,7.562827,5.149678,0.5441,97.5715,5.6764,0.9005,2.0,Bay Area,tower,0.011211576013529298
57,8.187859,0.263644,0.3392,74.008,4.8568,0.8553,2.0,Bay Area,tower,0.001305963020024675
58,8.564997,-6.730171,0.3036,69.914,4.7144,0.9103,2.0,Bay Area,tower,0.00030854571211326155
59,8.76254,-7.879372,0.2907,68.4305,4.6628,0.7133,2.0,Bay Area,tower,0.0
0,-8.580963,6.722553,,,,,,Bay Area,stop,
1,-7.069563,3.607491,,,,,,Bay Area,stop,
2,-6.335661,-7.782531,,,,,,Bay Area,stop,
3,-6.184338,4.951683,,,,,,Bay Area,stop,
4,-5.801885,-0.813147,,,,,,Bay Area,stop,
5,-5.670374,-1.344147,,,,,,Bay Area,stop,
6,-5.830229,0.533335,,,,,,Bay Area,stop,
7,-5.45381,5.077357,,,,,,Bay Area,stop,
8,-5.190371,5.268257,,,,,,Bay Area,stop,
9,-4.753726,5.253566,,,,,,Bay Area,stop,
10,-3.390764,5.55822,,,,,,Bay Area,stop,
11,-2.242968,6.794899,,,,,,Bay Area,stop,
12,-1.482699,8.103418,,,,,,Bay Area,stop,
13,-0.865222,-1.35649,,,,,,Bay Area,stop,
14,-0.160444,1.097474,,,,,,Bay Area,stop,
15,1.019523,11.094688,,,,,,Bay Area,stop,
16,2.188042,11.051802,,,,,,Bay Area,stop,
17,3.041709,1.798315,,,,,,Bay Area,stop,
18,3.127355,0.4136,,,,,,Bay Area,stop,
19,3.645181,10.226156,,,,,,Bay Area,stop,
20,4.13474,-1.210001,,,,,,Bay Area,stop,
21,4.234634,4.490835,,,,,,Bay Area,stop,
22,4.668259,6.169626,,,,,,Bay Area,stop,
23,4.845192,-2.052126,,,,,,Bay Area,stop,
24,5.727221,10.328143,,,,,,Bay Area,stop,
25,6.270055,0.595895,,,,,,Bay Area,stop,
26,6.972475,-0.948938,,,,,,Bay Area,stop,
27,7.471458,6.096336,,,,,,Bay Area,stop,
28,8.534611,0.690567,,,,,,Bay Area,stop,
29,9.203861,-7.336016,,,,,,Bay Area,stop,
0,-18.357861,10.449636,0.5409,109.2035,5.6636,0.8824,0.0,Los Angeles inland,tower,0.014840831949431244
1,-16.482227,-0.140306,0.5973,115.6895,5.8892,1.1034,0.0,Los Angeles inland,tower,0.019691072612174624
2,-15.609768,-3.455632,0.3911,91.9765,5.0644,0.6952,0.0,Los Angeles inland,tower,0.005194358586807078
3,-14.312776,-4.573776,0.5753,113.1595,5.8012,1.2525,0.0,Los Angeles inland,tower,0.017719852472087932
4,-12.871816,-5.889114,0.3889,91.7235,5.0556,0.6016,0.0,Los Angeles inland,tower,0.005087719794308076
5,-11.853309,-12.223164,0.5181,106.5815,5.5724,0.8561,0.0,Los Angeles inland,tower,0.013069267600813915
6,-11.646242,-10.578777,0.6021,116.2415,5.9084,1.369,0.0,Los Angeles inland,tower,0.02013463332001288
7,-11.511117,-8.294953,0.393,92.195,5.072,1.1388,0.0,Los Angeles inland,tower,0.005287271805410635
8,-10.840085,-15.592441,0.5219,107.0185,5.5876,1.1648,0.0,Los Angeles inland,tower,0.01335696466074649
9,-10.182543,4.113173,0.4644,100.406,5.3576,0.9182,0.0,Los Angeles inland,tower,0.009327126269112886
10,-9.882451,-16.398683,0.6974,127.201,6.2896,1.1548,0.0,Los Angeles inland,tower,0.029940521756594066
11,-9.144786,2.39055,0.6352,120.048,6.0408,0.8661,0.0,Los Angeles inland,tower,0.023324774282421933
12,-8.04796,8.025527,0.6886,126.189,6.2544,0.7918,0.0,Los Angeles inland,tower,0.0289553029876693
13,-7.889332,0.492405,0.559,111.285,5.736,1.0796,0.0,Los Angeles inland,tower,0.016324758108578325
14,-7.718402,-0.109082,0.6113,117.2995,5.9452,1.2174,0.0,Los Angeles inland,tower,0.020998284418591185
15,-7.13733,4.339355,0.6749,124.6135,6.1996,1.3762,0.0,Los Angeles inland,tower,0.027453788734556978
16,-6.858523,4.883243,0.5243,107.2945,5.5972,1.0757,0.0,Los Angeles inland,tower,0.013540226894343432
17,-6.284132,7.647909,0.6674,123.751,6.1696,0.9178,0.0,Los Angeles inland,tower,0.02664844870488885
18,-4.568542,7.285902,0.6623,123.1645,6.1492,1.2483,0.0,Los Angeles inland,tower,0.026107549355939244
19,-3.541275,-12.346579,0.715,129.225,6.36,0.701,0.0,Los Angeles inland,tower,0.0319596349347463
20,-3.374283,-15.120652,0.6966,115.109,6.2864,1.0318,1.0,Los Angeles inland,tower,0.02324057387429525
21,-2.864795,-11.565456,0.5915,103.0225,5.866,1.3727,1.0,Los Angeles inland,tower,0.013700729263110095
22,-2.430185,-11.668389,0.5846,102.229,5.8384,1.1533,1.0,Los Angeles inland,tower,0.013155380123410726
23,-1.848819,-13.169011,0.7855,125.3325,6.642,0.8654,1.0,Los Angeles inland,tower,0.03311670928975433
24,-1.073646,5.479927,0.5093,93.5695,5.5372,0.8792,1.0,Los Angeles inland,tower,0.007852389418558325
25,-0.559189,-11.877136,0.7065,116.2475,6.326,0.8998,1.0,Los Angeles inland,tower,0.024258458260646664
26,-0.037186,4.660831,0.785,125.275,6.64,0.7625,1.0,Los Angeles inland,tower,0.0330565325837173
27,0.423898,-12.537835,0.5009,92.6035,5.5036,1.2429,1.0,Los Angeles inland,tower,0.007334475325398566
28,0.752324,2.300004,0.6612,111.038,6.1448,1.336,1.0,Los Angeles inland,tower,0.01976886114065745
29,1.129696,-0.484299,0.6935,114.7525,6.274,1.3829,1.0,Los Angeles inland,tower,0.022926064223782978
30,1.228822,1.577602,0.7186,117.639,6.3744,0.5953,1.0,Los Angeles inland,tower,0.025530426262888477
31,1.467297,-8.433747,0.7071,116.3165,6.3284,1.3625,1.0,Los Angeles inland,tower,0.02432080821083081
32,1.511633,-9.239455,0.4979,92.2585,5.4916,0.7127,1.0,Los Angeles inland,tower,0.007153088795019929
33,1.648929,-2.260941,0.7044,116.006,6.3176,0.7395,1.0,Los Angeles inland,tower,0.024040827423639617
34,1.799808,-2.78388,0.7535,121.6525,6.514,0.9041,1.0,Los Angeles inland,tower,0.029370998083379434
35,2.719658,-12.583291,0.6081,104.9315,5.9324,0.6488,1.0,Los Angeles inland,tower,0.01505359547997458
36,3.367105,-12.527104,0.7773,124.3895,6.6092,1.2488,1.0,Los Angeles inland,tower,0.03213642585088274
37,4.150303,16.326874,0.6317,107.6455,6.0268,1.2788,1.0,Los Angeles inland,tower,0.01707633526401529
38,4.683302,-12.994391,0.8004,127.046,6.7016,0.6694,1.0,Los Angeles inland,tower,0.034934013336493173
39,5.281683,-13.9189,0.8052,127.598,6.7208,0.653,1.0,Los Angeles inland,tower,0.0355293596625337
40,5.738691,13.690883,0.5579,99.1585,5.7316,1.3836,2.0,Los Angeles inland,tower,0.01113909826329179
41,6.424088,-12.365171,0.5506,98.319,5.7024,1.2218,2.0,Los Angeles inland,tower,0.010613831596552761
42,7.007147,-12.427318,0.4837,90.6255,5.4348,1.2284,2.0,Los Angeles inland,tower,0.006320112442729812
43,7.685329,-12.106097,0.4946,91.879,5.4784,0.8709,2.0,Los Angeles inland,tower,0.006955741569940839
44,8.221135,-15.830043,0.7162,117.363,6.3648,0.9162,2.0,Los Angeles inland,tower,0.02527569627839973
45,8.760816,-10.163586,0.722,118.03,6.388,1.2553,2.0,Los Angeles inland,tower,0.02589335960615777
46,9.1956,-8.596936,0.5583,99.2045,5.7332,1.2168,2.0,Los Angeles inland,tower,0.011168202658950003
47,9.629759,-6.854532,0.5083,93.4545,5.5332,1.0017,2.0,Los Angeles inland,tower,0.007789957755630605
48,10.452922,-5.601363,0.3982,80.793,5.0928,0.5971,2.0,Los Angeles inland,tower,0.0021976662973319026
49,10.878219,-5.090744,0.6141,105.6215,5.9564,0.6519,2.0,Los Angeles inland,tower,0.015556788711749725
50,11.015791,-5.103843,0.6245,106.8175,5.998,1.0391,2.0,Los Angeles inland,tower,0.016446858162171916
51,11.200709,-4.899989,0.404,81.46,5.116,0.6697,2.0,Los Angeles inland,tower,0.0024288913030586635
52,11.519712,-4.592234,0.356,75.94,4.924,0.5624,2.0,Los Angeles inland,tower,0.0007275067038068492
53,12.109921,7.517744,0.5626,99.699,5.7504,1.0042,2.0,Los Angeles inland,tower,0.011483192109870746
54,13.094177,6.086229,0.3297,72.9155,4.8188,1.0527,2.0,Los Angeles inland,tower,0.0
55,13.573758,-1.99981,0.372,77.78,4.988,1.1962,2.0,Los Angeles inland,tower,0.0012409978343533741
56,13.933876,-1.641217,0.3989,80.8735,5.0956,1.3948,2.0,Los Angeles inland,tower,0.0022251987706944877
57,14.368974,-0.43196,0.6092,105.058,5.9368,1.3311,2.0,Los Angeles inland,tower,0.015145282916601437
58,15.369085,-15.812185,0.5987,103.8505,5.8948,1.109,2.0,Los Angeles inland,tower,0.014280424460098437
59,18.316985,-16.153276,0.3515,75.4225,4.906,1.21,2.0,Los Angeles inland,tower,0.0005927514241884454
0,-18.122995,10.773423,,,,,,Los Angeles inland,stop,
1,-15.286827,-3.010425,,,,,,Los Angeles inland,stop,
2,-12.4608,-5.322487,,,,,,Los Angeles inland,stop,
3,-11.411376,-10.25499,,,,,,Los Angeles inland,stop,
4,-10.517144,-15.147234,,,,,,Los Angeles inland,stop,
5,-9.471435,-15.832056,,,,,,Los Angeles inland,stop,
6,-7.813094,8.349314,,,,,,Los Angeles inland,stop,
7,-7.395461,0.336125,,,,,,Los Angeles inland,stop,
8,-6.447507,5.44987,,,,,,Los Angeles inland,stop,
9,-4.333676,7.609689,,,,,,Los Angeles inland,stop,
10,-3.051342,-14.675445,,,,,,Los Angeles inland,stop,
11,-2.019169,-11.101762,,,,,,Los Angeles inland,stop,
12,-0.83878,5.803714,,,,,,Los Angeles inland,stop,
13,0.285755,5.106038,,,,,,Los Angeles inland,stop,
14,1.16334,2.866631,,,,,,Los Angeles inland,stop,
15,1.702163,-8.10996,,,,,,Los Angeles inland,stop,
16,1.97187,-1.815734,,,,,,Los Angeles inland,stop,
17,3.130674,-12.016664,,,,,,Los Angeles inland,stop,
18,4.385169,16.650661,,,,,,Los Angeles inland,stop,
19,5.604624,-13.473693,,,,,,Los Angeles inland,stop,
20,6.835104,-11.798544,,,,,,Los Angeles inland,stop,
21,7.920195,-11.78231,,,,,,Los Angeles inland,stop,
22,9.083757,-9.718379,,,,,,Los Angeles inland,stop,
23,10.040775,-6.287905,,,,,,Los Angeles inland,stop,
24,11.113085,-4.766957,,,,,,Los Angeles inland,stop,
25,11.52365,-4.454782,,,,,,Los Angeles inland,stop,
26,12.520937,8.084371,,,,,,Los Angeles inland,stop,
27,13.808624,-1.676023,,,,,,Los Angeles inland,stop,
28,14.691915,0.013247,,,,,,Los Angeles inland,stop,
29,18.728001,-15.586649,,,,,,Los Angeles inland,stop,
0,-23.33765,13.299121,0.3972,92.678,5.0888,1.2522,0.0,Dallas-Fort Worth,tower,0.00448286629778411
1,-22.411795,13.578354,0.3557,87.9055,4.9228,0.674,0.0,Dallas-Fort Worth,tower,0.002478714245846279
2,-21.672238,-20.571746,0.5924,115.126,5.8696,1.3976,0.0,Dallas-Fort Worth,tower,0.020159841495659008
3,-20.747869,16.222995,0.4764,101.786,5.4056,0.5716,0.0,Dallas-Fort Worth,tower,0.009600809310616694
4,-20.044812,16.230167,0.5092,105.558,5.5368,0.8184,0.0,Dallas-Fort Worth,tower,0.01221730708526718
5,-19.089692,18.145314,0.509,105.535,5.536,0.8538,0.0,Dallas-Fort Worth,tower,0.012200470838647956
6,-18.313609,-9.806127,0.6139,117.5985,5.9556,1.0512,0.0,Dallas-Fort Worth,tower,0.022516809713537672
7,-17.24647,-11.106465,0.396,92.54,5.084,0.9059,0.0,Dallas-Fort Worth,tower,0.004418373022340257
8,-16.773817,-1.71584,0.5837,114.1255,5.8348,0.8184,0.0,Dallas-Fort Worth,tower,0.01924163367463473
9,-16.299547,1.577736,0.4182,95.093,5.1728,1.3703,0.0,Dallas-Fort Worth,tower,0.005674563744093655
10,-15.869132,15.966001,0.434,96.91,5.236,1.3667,0.0,Dallas-Fort Worth,tower,0.006649828401222404
11,-15.225978,6.821073,0.5186,106.639,5.5744,0.9559,0.0,Dallas-Fort Worth,tower,0.013020817877086968
12,-14.153137,7.735041,0.4831,102.5565,5.4324,0.6822,0.0,Dallas-Fort Worth,tower,0.010111621334220078
13,-12.96793,12.604863,0.5997,115.9655,5.8988,1.248,0.0,Dallas-Fort Worth,tower,0.020946091836506746
14,-12.326953,13.705883,0.5381,108.8815,5.6524,0.9407,0.0,Dallas-Fort Worth,tower,0.014763909501560061
15,-11.627877,-14.557171,0.7689,135.4235,6.5756,1.2429,0.0,Dallas-Fort Worth,tower,0.04320968734710948
16,-11.144868,-14.622842,0.782,136.93,6.628,0.571,0.0,Dallas-Fort Worth,tower,0.045256459320526875
17,-10.587591,-14.606119,0.5029,104.8335,5.5116,0.9721,0.0,Dallas-Fort Worth,tower,0.011692163928503085
18,-10.142772,1.87982,0.5308,108.042,5.6232,0.7338,0.0,Dallas-Fort Worth,tower,0.014099319932392242
19,-9.289102,1.934327,0.7417,132.2955,6.4668,0.7696,0.0,Dallas-Fort Worth,tower,0.03910818412324825
20,-8.512645,19.832388,0.5632,99.768,5.7528,0.966,1.0,Dallas-Fort Worth,tower,0.010859914143609251
21,-8.028169,-22.194949,0.6282,107.243,6.0128,0.7684,1.0,Dallas-Fort Worth,tower,0.016937102095576508
22,-7.637384,-6.75062,0.779,124.585,6.616,1.2935,1.0,Dallas-Fort Worth,tower,0.035438378258557134
23,-7.180527,1.726926,0.8028,127.322,6.7112,1.0978,1.0,Dallas-Fort Worth,tower,0.03892047279531172
24,-6.558327,-9.662574,0.495,91.925,5.48,0.7135,1.0,Dallas-Fort Worth,tower,0.005712410581454593
25,-6.106284,6.15159,0.6663,111.6245,6.1652,0.8398,1.0,Dallas-Fort Worth,tower,0.021030643602387683
26,-5.672177,1.635913,0.6095,105.0925,5.938,0.8804,1.0,Dallas-Fort Worth,tower,0.015071619568283054
27,-5.174485,-22.166028,0.712,116.88,6.348,0.6582,1.0,Dallas-Fort Worth,tower,0.026458801177764824
28,-4.550865,11.212967,0.8332,130.818,6.8328,1.1145,1.0,Dallas-Fort Worth,tower,0.04359107981973728
29,-3.904607,7.364484,0.8205,129.3575,6.782,0.7573,1.0,Dallas-Fort Worth,tower,0.04160946385074945
30,-2.980948,-15.324183,0.5354,96.571,5.6416,0.784,1.0,Dallas-Fort Worth,tower,0.008609735023217945
31,-1.890863,4.50836,0.5364,96.686,5.6456,1.0055,1.0,Dallas-Fort Worth,tower,0.008687051352735035
32,-0.760129,1.523395,0.7459,120.7785,6.4836,1.0445,1.0,Dallas-Fort Worth,tower,0.03085040859886144
33,0.060305,17.412216,0.6957,115.0055,6.2828,0.89,1.0,Dallas-Fort Worth,tower,0.02445789231218836
34,1.396591,-1.34635,0.7251,118.3865,6.4004,1.1637,1.0,Dallas-Fort Worth,tower,0.028118993327204418
35,2.46331,-15.328242,0.7884,125.666,6.6536,1.2481,1.0,Dallas-Fort Worth,tower,0.0367953484930073
36,3.310569,-3.139615,0.5447,97.6405,5.6788,1.2334,1.0,Dallas-Fort Worth,tower,0.009339218751903562
37,4.068239,-10.568903,0.554,98.71,5.716,0.8732,1.0,Dallas-Fort Worth,tower,0.01009210232079242
38,4.77468,1.31963,0.5377,96.8355,5.6508,0.5961,1.0,Dallas-Fort Worth,tower,0.008787967052850837
39,5.792235,2.963416,0.5545,98.7675,5.718,1.2455,1.0,Dallas-Fort Worth,tower,0.01013324277869312
40,6.684461,-9.755356,0.7305,119.0075,6.422,0.8975,2.0,Dallas-Fort Worth,tower,0.028816861298584382
41,7.420101,11.051245,0.7099,116.6385,6.3396,1.1873,2.0,Dallas-Fort Worth,tower,0.02619698147754777
42,7.95504,12.904878,0.7133,117.0295,6.3532,0.9869,2.0,Dallas-Fort Worth,tower,0.02662147795455537
43,8.90757,-7.44729,0.5622,99.653,5.7488,0.8715,2.0,Dallas-Fort Worth,tower,0.01077534708317013
44,9.976691,18.051799,0.4548,87.302,5.3192,1.1091,2.0,Dallas-Fort Worth,tower,0.0032677360142341623
45,10.495703,19.192393,0.6438,109.037,6.0752,0.9653,2.0,Dallas-Fort Worth,tower,0.018565716365095918
46,10.961907,20.345308,0.457,87.555,5.328,0.6903,2.0,Dallas-Fort Worth,tower,0.0033902151987882227
47,11.329736,-3.041897,0.5927,103.1605,5.8708,0.9053,2.0,Dallas-Fort Worth,tower,0.013476355955427247
48,11.753637,-2.785993,0.6383,108.4045,6.0532,0.8481,2.0,Dallas-Fort Worth,tower,0.017984010919897934
49,13.48941,-18.600869,0.3896,79.804,5.0584,0.9354,2.0,Dallas-Fort Worth,tower,0.00023236090063374657
50,14.406273,2.604078,0.6488,109.612,6.0952,1.304,2.0,Dallas-Fort Worth,tower,0.019101641425702403
51,15.648775,-0.722846,0.5135,94.0525,5.554,0.776,2.0,Dallas-Fort Worth,tower,0.006984349087105534
52,17.06363,7.285824,0.6262,107.013,6.0048,0.8551,2.0,Dallas-Fort Worth,tower,0.016733067068394433
53,17.655798,7.017366,0.5405,97.1575,5.662,1.3993,2.0,Dallas-Fort Worth,tower,0.00900687690046366
54,18.740192,6.185805,0.5445,97.6175,5.678,0.796,2.0,Dallas-Fort Worth,tower,0.009323284729589536
55,19.990087,-21.005018,0.4635,88.3025,5.354,0.7999,2.0,Dallas-Fort Worth,tower,0.003759735308461261
56,20.789584,13.970872,0.4447,86.1405,5.2788,1.1821,2.0,Dallas-Fort Worth,tower,0.002722250404627583
57,21.283145,15.826062,0.516,94.34,5.564,0.6378,2.0,Dallas-Fort Worth,tower,0.0071633345975586
58,22.222468,-2.672307,0.5823,101.9645,5.8292,0.6032,2.0,Dallas-Fort Worth,tower,0.012527078358225597
59,23.354801,-17.772032,0.3833,79.0795,5.0332,1.1674,2.0,Dallas-Fort Worth,tower,0.0
0,-23.116052,13.632129,,,,,,Dallas-Fort Worth,stop,
1,-21.367541,-20.11386,,,,,,Dallas-Fort Worth,stop,
2,-19.657016,16.812931,,,,,,Dallas-Fort Worth,stop,
3,-18.092011,-9.473119,,,,,,Dallas-Fort Worth,stop,
4,-16.46912,-1.257954,,,,,,Dallas-Fort Worth,stop,
5,-15.481336,16.548765,,,,,,Dallas-Fort Worth,stop,
6,-13.931539,8.068049,,,,,,Dallas-Fort Worth,stop,
7,-12.022256,14.163769,,,,,,Dallas-Fort Worth,stop,
8,-10.757072,-14.040078,,,,,,Dallas-Fort Worth,stop,
9,-9.921174,2.212828,,,,,,Dallas-Fort Worth,stop,
10,-8.207948,20.290274,,,,,,Dallas-Fort Worth,stop,
11,-7.249588,-6.167856,,,,,,Dallas-Fort Worth,stop,
12,-6.336729,-9.329566,,,,,,Dallas-Fort Worth,stop,
13,-5.36748,2.093799,,,,,,Dallas-Fort Worth,stop,
14,-4.163069,11.795731,,,,,,Dallas-Fort Worth,stop,
15,-1.669265,4.841368,,,,,,Dallas-Fort Worth,stop,
16,0.365002,17.870102,,,,,,Dallas-Fort Worth,stop,
17,2.851106,-14.745478,,,,,,Dallas-Fort Worth,stop,
18,4.289837,-10.235895,,,,,,Dallas-Fort Worth,stop,
19,6.096932,3.421302,,,,,,Dallas-Fort Worth,stop,
20,7.807897,11.634009,,,,,,Dallas-Fort Worth,stop,
21,9.129168,-7.114282,,,,,,Dallas-Fort Worth,stop,
22,10.8004,19.650279,,,,,,Dallas-Fort Worth,stop,
23,11.717532,-2.459133,,,,,,Dallas-Fort Worth,stop,
24,13.711008,-18.267861,,,,,,Dallas-Fort Worth,stop,
25,15.953472,-0.26496,,,,,,Dallas-Fort Worth,stop,
26,18.043594,7.60013,,,,,,Dallas-Fort Worth,stop,
27,20.211685,-20.67201,,,,,,Dallas-Fort Worth,stop,
28,21.587842,16.283948,,,,,,Dallas-Fort Worth,stop,
29,23.742597,-17.189268,,,,,,Dallas-Fort Worth,stop,
