id,x,y,risk,value,service_time,payload,segment,risk_value,case,kind
21,-3.138966,5.526573,0.7816,124.884,6.6264,1.3688,1.0,97.6093344,Bay Area,tower
22,-2.684289,6.251543,0.6332,107.818,6.0328,1.2556,1.0,68.2703576,Bay Area,tower
23,-2.201034,-3.962348,0.5537,98.6755,5.7148,0.59,1.0,54.63662435,Bay Area,tower
24,-1.734882,7.792929,0.7831,125.0565,6.6324,0.8681,1.0,97.93174515,Bay Area,tower
25,-1.485406,-2.789773,0.6979,115.2585,6.2916,1.1242,1.0,80.43890714999999,Bay Area,tower
26,-1.211974,-1.783413,0.7328,119.272,6.4312,0.7605,1.0,87.4025216,Bay Area,tower
27,-0.899127,-0.59049,0.7373,119.7895,6.4492,0.577,1.0,88.32079835,Bay Area,tower
28,-0.601765,0.554118,0.6909,114.4535,6.2636,0.8469,1.0,79.07592315,Bay Area,tower
29,-0.349065,1.523284,0.7386,119.939,6.4544,0.9306,1.0,88.5869454,Bay Area,tower
30,0.045413,10.605998,0.5522,98.503,5.7088,1.2131,1.0,54.393356600000004,Bay Area,tower
31,0.76734,10.784199,0.8309,130.5535,6.8236,1.2687,1.0,108.47690315000001,Bay Area,tower
32,1.226054,10.952315,0.6116,105.334,5.9464,0.9941,1.0,64.4222744,Bay Area,tower
33,1.84129,10.624879,0.7006,115.569,6.3024,0.7063,1.0,80.9676414,Bay Area,tower
34,2.272771,1.848841,0.7577,122.1355,6.5308,1.0385,1.0,92.54206835,Bay Area,tower
35,2.600388,1.254959,0.5911,102.9765,5.8644,1.0006,1.0,60.869409149999996,Bay Area,tower
36,2.757456,1.010474,0.4879,91.1085,5.4516,0.9168,1.0,44.45183715,Bay Area,tower
37,2.875172,0.103111,0.7403,120.1345,6.4612,0.6292,1.0,88.93557034999999,Bay Area,tower
38,3.073342,9.8875,0.6991,115.3965,6.2964,1.2439,1.0,80.67369315,Bay Area,tower
39,3.298429,9.799233,0.4933,91.7295,5.4732,0.6941,1.0,45.250162350000004,Bay Area,tower
40,3.559529,9.36922,0.7313,119.0995,6.4252,1.078,2.0,87.09746435,Bay Area,tower
41,3.693419,-1.753357,0.6713,112.1995,6.1852,1.2589,2.0,75.31952435,Bay Area,tower
42,3.797698,-1.839489,0.6509,109.8535,6.1036,0.6551,2.0,71.50364315,Bay Area,tower
43,3.982451,4.180346,0.541,97.215,5.664,0.7613,2.0,52.593315000000004,Bay Area,tower
44,4.172769,4.331615,0.7287,118.8005,6.4148,1.3866,2.0,86.56992435000001,Bay Area,tower
45,4.321507,5.742703,0.5724,100.826,5.7896,1.111,2.0,57.7128024,Bay Area,tower
46,4.336904,4.474223,0.5007,92.5805,5.5028,0.9943,2.0,46.355056350000005,Bay Area,tower
47,4.403871,-2.595482,0.7409,120.2035,6.4636,1.1232,2.0,89.05877315000001,Bay Area,tower
48,5.300277,8.502743,0.5237,95.2255,5.5948,1.0369,2.0,49.86959435000001,Bay Area,tower
49,5.475038,10.017654,0.6221,106.5415,5.9884,0.9556,2.0,66.27946715,Bay Area,tower
50,5.6623,1.068418,0.4714,89.211,5.3856,1.2556,2.0,42.0540654,Bay Area,tower
51,5.923303,0.168972,0.6249,106.8635,5.9996,1.0873,2.0,66.77900115,Bay Area,tower
52,6.285221,-0.578214,0.6799,113.1885,6.2196,1.1047,2.0,76.95686115,Bay Area,tower
53,6.531154,-1.492294,0.5732,100.918,5.7928,0.6917,2.0,57.84619760000001,Bay Area,tower
54,6.901993,6.363639,0.629,107.335,6.016,0.6001,2.0,67.51371499999999,Bay Area,tower
55,7.219275,5.785847,0.4909,91.4535,5.4636,0.8223,2.0,44.894523150000005,Bay Area,tower
56,7.562827,5.149678,0.5441,97.5715,5.6764,0.9005,2.0,53.088653150000006,Bay Area,tower
57,8.187859,0.263644,0.3392,74.008,4.8568,0.8553,2.0,25.1035136,Bay Area,tower
58,8.564997,-6.730171,0.3036,69.914,4.7144,0.9103,2.0,21.2258904,Bay Area,tower
59,8.76254,-7.879372,0.2907,68.4305,4.6628,0.7133,2.0,19.89274635,Bay Area,tower
0,-8.580963,6.722553,,,,,,,Bay Area,stop
1,-7.069563,3.607491,,,,,,,Bay Area,stop
2,-6.335661,-7.782531,,,,,,,Bay Area,stop
3,-6.184338,4.951683,,,,,,,Bay Area,stop
4,-5.801885,-0.813147,,,,,,,Bay Area,stop
5,-5.670374,-1.344147,,,,,,,Bay Area,stop
6,-5.830229,0.533335,,,,,,,Bay Area,stop
7,-5.45381,5.077357,,,,,,,Bay Area,stop
8,-5.190371,5.268257,,,,,,,Bay Area,stop
9,-4.753726,5.253566,,,,,,,Bay Area,stop
10,-3.390764,5.55822,,,,,,,Bay Area,stop
11,-2.242968,6.794899,,,,,,,Bay Area,stop
12,-1.482699,8.103418,,,,,,,Bay Area,stop
13,-0.865222,-1.35649,,,,,,,Bay Area,stop
14,-0.160444,1.097474,,,,,,,Bay Area,stop
15,1.019523,11.094688,,,,,,,Bay Area,stop
16,2.188042,11.051802,,,,,,,Bay Area,stop
17,3.041709,1.798315,,,,,,,Bay Area,stop
18,3.127355,0.4136,,,,,,,Bay Area,stop
19,3.645181,10.226156,,,,,,,Bay Area,stop
20,4.13474,-1.210001,,,,,,,Bay Area,stop
21,4.234634,4.490835,,,,,,,Bay Area,stop
22,4.668259,6.169626,,,,,,,Bay Area,stop
23,4.845192,-2.052126,,,,,,,Bay Area,stop
24,5.727221,10.328143,,,,,,,Bay Area,stop
25,6.270055,0.595895,,,,,,,Bay Area,stop
26,6.972475,-0.948938,,,,,,,Bay Area,stop
27,7.471458,6.096336,,,,,,,Bay Area,stop
28,8.534611,0.690567,,,,,,,Bay Area,stop
29,9.203861,-7.336016,,,,,,,Bay Area,stop
0,-18.357861,10.449636,0.5409,109.2035,5.6636,0.8824,0.0,59.06817315000001,Los Angeles inland,tower
1,-16.482227,-0.140306,0.5973,115.6895,5.8892,1.1034,0.0,69.10133835,Los Angeles inland,tower
2,-15.609768,-3.455632,0.3911,91.9765,5.0644,0.6952,0.0,35.97200915,Los Angeles inland,tower
3,-14.312776,-4.573776,0.5753,113.1595,5.8012,1.2525,0.0,65.10066035,Los Angeles inland,tower
4,-12.871816,-5.889114,0.3889,91.7235,5.0556,0.6016,0.0,35.67126915,Los Angeles inland,tower
5,-11.853309,-12.223164,0.5181,106.5815,5.5724,0.8561,0.0,55.21987515,Los Angeles inland,tower
6,-11.646242,-10.578777,0.6021,116.2415,5.9084,1.369,0.0,69.98900714999999,Los Angeles inland,tower
7,-11.511117,-8.294953,0.393,92.195,5.072,1.1388,0.0,36.232635,Los Angeles inland,tower
8,-10.840085,-15.592441,0.5219,107.0185,5.5876,1.1648,0.0,55.85295515000001,Los Angeles inland,tower
9,-10.182543,4.113173,0.4644,100.406,5.3576,0.9182,0.0,46.6285464,Los Angeles inland,tower
10,-9.882451,-16.398683,0.6974,127.201,6.2896,1.1548,0.0,88.7099774,Los Angeles inland,tower
11,-9.144786,2.39055,0.6352,120.048,6.0408,0.8661,0.0,76.2544896,Los Angeles inland,tower
12,-8.04796,8.025527,0.6886,126.189,6.2544,0.7918,0.0,86.8937454,Los Angeles inland,tower
13,-7.889332,0.492405,0.559,111.285,5.736,1.0796,0.0,62.208315000000006,Los Angeles inland,tower
14,-7.718402,-0.109082,0.6113,117.2995,5.9452,1.2174,0.0,71.70518435,Los Angeles inland,tower
15,-7.13733,4.339355,0.6749,124.6135,6.1996,1.3762,0.0,84.10165115000001,Los Angeles inland,tower
16,-6.858523,4.883243,0.5243,107.2945,5.5972,1.0757,0.0,56.25450635,Los Angeles inland,tower
17,-6.284132,7.647909,0.6674,123.751,6.1696,0.9178,0.0,82.5914174,Los Angeles inland,tower
18,-4.568542,7.285902,0.6623,123.1645,6.1492,1.2483,0.0,81.57184835,Los Angeles inland,tower
19,-3.541275,-12.346579,0.715,129.225,6.36,0.701,0.0,92.39587499999999,Los Angeles inland,tower
20,-3.374283,-15.120652,0.6966,115.109,6.2864,1.0318,1.0,80.1849294,Los Angeles inland,tower
21,-2.864795,-11.565456,0.5915,103.0225,5.866,1.3727,1.0,60.93780875,Los Angeles inland,tower
22,-2.430185,-11.668389,0.5846,102.229,5.8384,1.1533,1.0,59.7630734,Los Angeles inland,tower
23,-1.848819,-13.169011,0.7855,125.3325,6.642,0.8654,1.0,98.44867875,Los Angeles inland,tower
24,-1.073646,5.479927,0.5093,93.5695,5.5372,0.8792,1.0,47.65494635,Los Angeles inland,tower
25,-0.559189,-11.877136,0.7065,116.2475,6.326,0.8998,1.0,82.12885875,Los Angeles inland,tower
26,-0.037186,4.660831,0.785,125.275,6.64,0.7625,1.0,98.34087500000001,Los Angeles inland,tower
27,0.423898,-12.537835,0.5009,92.6035,5.5036,1.2429,1.0,46.38509315,Los Angeles inland,tower
28,0.752324,2.300004,0.6612,111.038,6.1448,1.336,1.0,73.4183256,Los Angeles inland,tower
29,1.129696,-0.484299,0.6935,114.7525,6.274,1.3829,1.0,79.58085875,Los Angeles inland,tower
30,1.228822,1.577602,0.7186,117.639,6.3744,0.5953,1.0,84.5353854,Los Angeles inland,tower
31,1.467297,-8.433747,0.7071,116.3165,6.3284,1.3625,1.0,82.24739715,Los Angeles inland,tower
32,1.511633,-9.239455,0.4979,92.2585,5.4916,0.7127,1.0,45.93550715,Los Angeles inland,tower
33,1.648929,-2.260941,0.7044,116.006,6.3176,0.7395,1.0,81.7146264,Los Angeles inland,tower
34,1.799808,-2.78388,0.7535,121.6525,6.514,0.9041,1.0,91.66515874999999,Los Angeles inland,tower
35,2.719658,-12.583291,0.6081,104.9315,5.9324,0.6488,1.0,63.808845149999996,Los Angeles inland,tower
36,3.367105,-12.527104,0.7773,124.3895,6.6092,1.2488,1.0,96.68795835,Los Angeles inland,tower
37,4.150303,16.326874,0.6317,107.6455,6.0268,1.2788,1.0,67.99966235000001,Los Angeles inland,tower
38,4.683302,-12.994391,0.8004,127.046,6.7016,0.6694,1.0,101.6876184,Los Angeles inland,tower
39,5.281683,-13.9189,0.8052,127.598,6.7208,0.653,1.0,102.7419096,Los Angeles inland,tower
40,5.738691,13.690883,0.5579,99.1585,5.7316,1.3836,2.0,55.32052715,Los Angeles inland,tower
41,6.424088,-12.365171,0.5506,98.319,5.7024,1.2218,2.0,54.1344414,Los Angeles inland,tower
42,7.007147,-12.427318,0.4837,90.6255,5.4348,1.2284,2.0,43.83555435,Los Angeles inland,tower
43,7.685329,-12.106097,0.4946,91.879,5.4784,0.8709,2.0,45.4433534,Los Angeles inland,tower
44,8.221135,-15.830043,0.7162,117.363,6.3648,0.9162,2.0,84.05538059999999,Los Angeles inland,tower
45,8.760816,-10.163586,0.722,118.03,6.388,1.2553,2.0,85.21766,Los Angeles inland,tower
46,9.1956,-8.596936,0.5583,99.2045,5.7332,1.2168,2.0,55.38587235,Los Angeles inland,tower
47,9.629759,-6.854532,0.5083,93.4545,5.5332,1.0017,2.0,47.50292235,Los Angeles inland,tower
48,10.452922,-5.601363,0.3982,80.793,5.0928,0.5971,2.0,32.171772600000004,Los Angeles inland,tower
49,10.878219,-5.090744,0.6141,105.6215,5.9564,0.6519,2.0,64.86216315,Los Angeles inland,tower
50,11.015791,-5.103843,0.6245,106.8175,5.998,1.0391,2.0,66.70752875000001,Los Angeles inland,tower
51,11.200709,-4.899989,0.404,81.46,5.116,0.6697,2.0,32.90984,Los Angeles inland,tower
52,11.519712,-4.592234,0.356,75.94,4.924,0.5624,2.0,27.03464,Los Angeles inland,tower
53,12.109921,7.517744,0.5626,99.699,5.7504,1.0042,2.0,56.0906574,Los Angeles inland,tower
54,13.094177,6.086229,0.3297,72.9155,4.8188,1.0527,2.0,24.040240349999998,Los Angeles inland,tower
55,13.573758,-1.99981,0.372,77.78,4.988,1.1962,2.0,28.93416,Los Angeles inland,tower
56,13.933876,-1.641217,0.3989,80.8735,5.0956,1.3948,2.0,32.26043915,Los Angeles inland,tower
57,14.368974,-0.43196,0.6092,105.058,5.9368,1.3311,2.0,64.0013336,Los Angeles inland,tower
58,15.369085,-15.812185,0.5987,103.8505,5.8948,1.109,2.0,62.17529435,Los Angeles inland,tower
59,18.316985,-16.153276,0.3515,75.4225,4.906,1.21,2.0,26.51100875,Los Angeles inland,tower
0,-18.122995,10.773423,,,,,,,Los Angeles inland,stop
1,-15.286827,-3.010425,,,,,,,Los Angeles inland,stop
2,-12.4608,-5.322487,,,,,,,Los Angeles inland,stop
3,-11.411376,-10.25499,,,,,,,Los Angeles inland,stop
4,-10.517144,-15.147234,,,,,,,Los Angeles inland,stop
5,-9.471435,-15.832056,,,,,,,Los Angeles inland,stop
6,-7.813094,8.349314,,,,,,,Los Angeles inland,stop
7,-7.395461,0.336125,,,,,,,Los Angeles inland,stop
8,-6.447507,5.44987,,,,,,,Los Angeles inland,stop
9,-4.333676,7.609689,,,,,,,Los Angeles inland,stop
10,-3.051342,-14.675445,,,,,,,Los Angeles inland,stop
11,-2.019169,-11.101762,,,,,,,Los Angeles inland,stop
12,-0.83878,5.803714,,,,,,,Los Angeles inland,stop
13,0.285755,5.106038,,,,,,,Los Angeles inland,stop
14,1.16334,2.866631,,,,,,,Los Angeles inland,stop
15,1.702163,-8.10996,,,,,,,Los Angeles inland,stop
16,1.97187,-1.815734,,,,,,,Los Angeles inland,stop
17,3.130674,-12.016664,,,,,,,Los Angeles inland,stop
18,4.385169,16.650661,,,,,,,Los Angeles inland,stop
19,5.604624,-13.473693,,,,,,,Los Angeles inland,stop
20,6.835104,-11.798544,,,,,,,Los Angeles inland,stop
21,7.920195,-11.78231,,,,,,,Los Angeles inland,stop
22,9.083757,-9.718379,,,,,,,Los Angeles inland,stop
23,10.040775,-6.287905,,,,,,,Los Angeles inland,stop
24,11.113085,-4.766957,,,,,,,Los Angeles inland,stop
25,11.52365,-4.454782,,,,,,,Los Angeles inland,stop
26,12.520937,8.084371,,,,,,,Los Angeles inland,stop
27,13.808624,-1.676023,,,,,,,Los Angeles inland,stop
28,14.691915,0.013247,,,,,,,Los Angeles inland,stop
29,18.728001,-15.586649,,,,,,,Los Angeles inland,stop
0,-23.33765,13.299121,0.3972,92.678,5.0888,1.2522,0.0,36.8117016,Dallas-Fort Worth,tower
1,-22.411795,13.578354,0.3557,87.9055,4.9228,0.674,0.0,31.26798635,Dallas-Fort Worth,tower
2,-21.672238,-20.571746,0.5924,115.126,5.8696,1.3976,0.0,68.2006424,Dallas-Fort Worth,tower
3,-20.747869,16.222995,0.4764,101.786,5.4056,0.5716,0.0,48.4908504,Dallas-Fort Worth,tower
4,-20.044812,16.230167,0.5092,105.558,5.5368,0.8184,0.0,53.750133600000005,Dallas-Fort Worth,tower
5,-19.089692,18.145314,0.509,105.535,5.536,0.8538,0.0,53.717315,Dallas-Fort Worth,tower
6,-18.313609,-9.806127,0.6139,117.5985,5.9556,1.0512,0.0,72.19371915,Dallas-Fort Worth,tower
7,-17.24647,-11.106465,0.396,92.54,5.084,0.9059,0.0,36.64584000000001,Dallas-Fort Worth,tower
8,-16.773817,-1.71584,0.5837,114.1255,5.8348,0.8184,0.0,66.61505435,Dallas-Fort Worth,tower
9,-16.299547,1.577736,0.4182,95.093,5.1728,1.3703,0.0,39.7678926,Dallas-Fort Worth,tower
10,-15.869132,15.966001,0.434,96.91,5.236,1.3667,0.0,42.05894,Dallas-Fort Worth,tower
11,-15.225978,6.821073,0.5186,106.639,5.5744,0.9559,0.0,55.30298539999999,Dallas-Fort Worth,tower
12,-14.153137,7.735041,0.4831,102.5565,5.4324,0.6822,0.0,49.54504515,Dallas-Fort Worth,tower
13,-12.96793,12.604863,0.5997,115.9655,5.8988,1.248,0.0,69.54451035000001,Dallas-Fort Worth,tower
14,-12.326953,13.705883,0.5381,108.8815,5.6524,0.9407,0.0,58.589135150000004,Dallas-Fort Worth,tower
15,-11.627877,-14.557171,0.7689,135.4235,6.5756,1.2429,0.0,104.12712915,Dallas-Fort Worth,tower
16,-11.144868,-14.622842,0.782,136.93,6.628,0.571,0.0,107.07926,Dallas-Fort Worth,tower
17,-10.587591,-14.606119,0.5029,104.8335,5.5116,0.9721,0.0,52.72076715,Dallas-Fort Worth,tower
18,-10.142772,1.87982,0.5308,108.042,5.6232,0.7338,0.0,57.348693600000004,Dallas-Fort Worth,tower
19,-9.289102,1.934327,0.7417,132.2955,6.4668,0.7696,0.0,98.12357235,Dallas-Fort Worth,tower
20,-8.512645,19.832388,0.5632,99.768,5.7528,0.966,1.0,56.1893376,Dallas-Fort Worth,tower
21,-8.028169,-22.194949,0.6282,107.243,6.0128,0.7684,1.0,67.3700526,Dallas-Fort Worth,tower
22,-7.637384,-6.75062,0.779,124.585,6.616,1.2935,1.0,97.051715,Dallas-Fort Worth,tower
23,-7.180527,1.726926,0.8028,127.322,6.7112,1.0978,1.0,102.21410159999999,Dallas-Fort Worth,tower
24,-6.558327,-9.662574,0.495,91.925,5.48,0.7135,1.0,45.502874999999996,Dallas-Fort Worth,tower
25,-6.106284,6.15159,0.6663,111.6245,6.1652,0.8398,1.0,74.37540435,Dallas-Fort Worth,tower
26,-5.672177,1.635913,0.6095,105.0925,5.938,0.8804,1.0,64.05387875000001,Dallas-Fort Worth,tower
27,-5.174485,-22.166028,0.712,116.88,6.348,0.6582,1.0,83.21856,Dallas-Fort Worth,tower
28,-4.550865,11.212967,0.8332,130.818,6.8328,1.1145,1.0,108.99755760000002,Dallas-Fort Worth,tower
29,-3.904607,7.364484,0.8205,129.3575,6.782,0.7573,1.0,106.13782875,Dallas-Fort Worth,tower
30,-2.980948,-15.324183,0.5354,96.571,5.6416,0.784,1.0,51.7041134,Dallas-Fort Worth,tower
31,-1.890863,4.50836,0.5364,96.686,5.6456,1.0055,1.0,51.8623704,Dallas-Fort Worth,tower
32,-0.760129,1.523395,0.7459,120.7785,6.4836,1.0445,1.0,90.08868315,Dallas-Fort Worth,tower
33,0.060305,17.412216,0.6957,115.0055,6.2828,0.89,1.0,80.00932635,Dallas-Fort Worth,tower
34,1.396591,-1.34635,0.7251,118.3865,6.4004,1.1637,1.0,85.84205114999999,Dallas-Fort Worth,tower
35,2.46331,-15.328242,0.7884,125.666,6.6536,1.2481,1.0,99.07507439999999,Dallas-Fort Worth,tower
36,3.310569,-3.139615,0.5447,97.6405,5.6788,1.2334,1.0,53.18478035,Dallas-Fort Worth,tower
37,4.068239,-10.568903,0.554,98.71,5.716,0.8732,1.0,54.685340000000004,Dallas-Fort Worth,tower
38,4.77468,1.31963,0.5377,96.8355,5.6508,0.5961,1.0,52.06844835,Dallas-Fort Worth,tower
39,5.792235,2.963416,0.5545,98.7675,5.718,1.2455,1.0,54.76657875,Dallas-Fort Worth,tower
40,6.684461,-9.755356,0.7305,119.0075,6.422,0.8975,2.0,86.93497875,Dallas-Fort Worth,tower
41,7.420101,11.051245,0.7099,116.6385,6.3396,1.1873,2.0,82.80167114999999,Dallas-Fort Worth,tower
42,7.95504,12.904878,0.7133,117.0295,6.3532,0.9869,2.0,83.47714235000001,Dallas-Fort Worth,tower
43,8.90757,-7.44729,0.5622,99.653,5.7488,0.8715,2.0,56.024916600000005,Dallas-Fort Worth,tower
44,9.976691,18.051799,0.4548,87.302,5.3192,1.1091,2.0,39.7049496,Dallas-Fort Worth,tower
45,10.495703,19.192393,0.6438,109.037,6.0752,0.9653,2.0,70.1980206,Dallas-Fort Worth,tower
46,10.961907,20.345308,0.457,87.555,5.328,0.6903,2.0,40.012635,Dallas-Fort Worth,tower
47,11.329736,-3.041897,0.5927,103.1605,5.8708,0.9053,2.0,61.14322835,Dallas-Fort Worth,tower
48,11.753637,-2.785993,0.6383,108.4045,6.0532,0.8481,2.0,69.19459235,Dallas-Fort Worth,tower
49,13.48941,-18.600869,0.3896,79.804,5.0584,0.9354,2.0,31.0916384,Dallas-Fort Worth,tower
50,14.406273,2.604078,0.6488,109.612,6.0952,1.304,2.0,71.1162656,Dallas-Fort Worth,tower
51,15.648775,-0.722846,0.5135,94.0525,5.554,0.776,2.0,48.29595874999999,Dallas-Fort Worth,tower
52,17.06363,7.285824,0.6262,107.013,6.0048,0.8551,2.0,67.0115406,Dallas-Fort Worth,tower
53,17.655798,7.017366,0.5405,97.1575,5.662,1.3993,2.0,52.513628749999995,Dallas-Fort Worth,tower
54,18.740192,6.185805,0.5445,97.6175,5.678,0.796,2.0,53.15272875,Dallas-Fort Worth,tower
55,19.990087,-21.005018,0.4635,88.3025,5.354,0.7999,2.0,40.92820875,Dallas-Fort Worth,tower
56,20.789584,13.970872,0.4447,86.1405,5.2788,1.1821,2.0,38.30668035,Dallas-Fort Worth,tower
57,21.283145,15.826062,0.516,94.34,5.564,0.6378,2.0,48.67944,Dallas-Fort Worth,tower
58,22.222468,-2.672307,0.5823,101.9645,5.8292,0.6032,2.0,59.37392835000001,Dallas-Fort Worth,tower
59,23.354801,-17.772032,0.3833,79.0795,5.0332,1.1674,2.0,30.311172349999996,Dallas-Fort Worth,tower
0,-23.116052,13.632129,,,,,,,Dallas-Fort Worth,stop
1,-21.367541,-20.11386,,,,,,,Dallas-Fort Worth,stop
2,-19.657016,16.812931,,,,,,,Dallas-Fort Worth,stop
3,-18.092011,-9.473119,,,,,,,Dallas-Fort Worth,stop
4,-16.46912,-1.257954,,,,,,,Dallas-Fort Worth,stop
5,-15.481336,16.548765,,,,,,,Dallas-Fort Worth,stop
6,-13.931539,8.068049,,,,,,,Dallas-Fort Worth,stop
7,-12.022256,14.163769,,,,,,,Dallas-Fort Worth,stop
8,-10.757072,-14.040078,,,,,,,Dallas-Fort Worth,stop
9,-9.921174,2.212828,,,,,,,Dallas-Fort Worth,stop
10,-8.207948,20.290274,,,,,,,Dallas-Fort Worth,stop
11,-7.249588,-6.167856,,,,,,,Dallas-Fort Worth,stop
12,-6.336729,-9.329566,,,,,,,Dallas-Fort Worth,stop
13,-5.36748,2.093799,,,,,,,Dallas-Fort Worth,stop
14,-4.163069,11.795731,,,,,,,Dallas-Fort Worth,stop
15,-1.669265,4.841368,,,,,,,Dallas-Fort Worth,stop
16,0.365002,17.870102,,,,,,,Dallas-Fort Worth,stop
17,2.851106,-14.745478,,,,,,,Dallas-Fort Worth,stop
18,4.289837,-10.235895,,,,,,,Dallas-Fort Worth,stop
19,6.096932,3.421302,,,,,,,Dallas-Fort Worth,stop
20,7.807897,11.634009,,,,,,,Dallas-Fort Worth,stop
21,9.129168,-7.114282,,,,,,,Dallas-Fort Worth,stop
22,10.8004,19.650279,,,,,,,Dallas-Fort Worth,stop
23,11.717532,-2.459133,,,,,,,Dallas-Fort Worth,stop
24,13.711008,-18.267861,,,,,,,Dallas-Fort Worth,stop
25,15.953472,-0.26496,,,,,,,Dallas-Fort Worth,stop
26,18.043594,7.60013,,,,,,,Dallas-Fort Worth,stop
27,20.211685,-20.67201,,,,,,,Dallas-Fort Worth,stop
28,21.587842,16.283948,,,,,,,Dallas-Fort Worth,stop
29,23.742597,-17.189268,,,,,,,Dallas-Fort Worth,stop
